사업자번호,최종평판점수,일반 평판 환산 점수,미래 평판 환산 점수,사회적 책임 환산 점수,대중 평판 점수,고용 평판 점수,신용 평판 점수,기업 프로파일 점수,사업계획 점수,경제적 책임 점수,법률적 책임 점수,윤리적 책임 점수,자선적 책임 점수,
956,67.875,64.1509434,76.5625,91.24087591,55,60,60,95,60,100,100,100,50,
1603,65.75,66.03773585,63.54166667,91.24087591,50,40,90,80,50,100,100,100,50,
1614,62.575,62.26415094,66.14583333,78.10218978,50,50,70,65,70,70,100,100,50,
961,51.025,43.39622642,60.9375,75.91240876,50,40,30,65,60,70,90,100,50,
958,61.05,52.45283019,73.95833333,91.24087591,50,44,50,80,70,100,100,100,50,
1283,51.2375,49.05660377,51.82291667,71.53284672,55,50,30,57.5,50,55,100,100,50,
454,48.85,43.39622642,53.125,73.72262774,50,50,20,60,50,60,100,100,50,
367,50.2375,47.16981132,51.82291667,71.53284672,50,50,30,57.5,50,55,100,100,50,
361,61.975,62.26415094,66.14583333,73.72262774,50,50,70,65,70,70,100,80,50,
1604,55.75,47.16981132,63.54166667,91.24087591,50,50,30,80,50,100,100,100,50,
1290,49.625,47.16981132,50.52083333,69.34306569,50,50,30,55,50,50,100,100,50,
1134,64.6,66.03773585,68.75,73.72262774,50,80,50,60,80,60,100,100,50,
1132,50.075,43.39622642,55.72916667,78.10218978,50,50,20,65,50,70,100,100,50,
1619,53.325,47.16981132,60.9375,78.10218978,50,50,30,65,60,70,100,100,50,
451,52.075,47.16981132,55.72916667,78.10218978,50,50,30,65,50,70,100,100,50,
1612,58.225,51.69811321,71.35416667,78.10218978,60,42,40,65,80,70,100,100,50,
1615,58.075,58.49056604,55.72916667,78.10218978,40,50,70,65,50,70,100,100,50,
1456,71.4875,84.90566038,57.03125,71.53284672,70,100,60,57.5,60,55,100,100,50,
26,65.35,69.81132075,63.54166667,73.72262774,50,50,90,80,50,60,100,100,50,
456,50.075,43.39622642,55.72916667,78.10218978,50,50,20,65,50,70,100,100,50,
962,48.2375,43.39622642,51.82291667,71.53284672,50,50,20,57.5,50,55,100,100,50,
1463,72.45,73.96226415,73.95833333,91.24087591,55,56,90,100,50,100,100,100,50,
7058,54.2375,54.71698113,51.82291667,71.53284672,50,50,50,57.5,50,55,100,100,50,
1459,63.625,73.58490566,50.52083333,69.34306569,50,50,100,55,50,50,100,100,50,
7072,63.55,64.1509434,63.54166667,82.48175182,55,50,70,70,60,80,100,100,50,
462,58.575,54.71698113,66.14583333,78.10218978,50,60,40,65,70,70,100,100,50,
965,60.6,53.96226415,68.75,91.24087591,60,48,40,80,60,100,100,100,50,
465,60.3,48.67924528,79.16666667,91.24087591,50,64,20,90,70,100,100,100,50,
1458,59.325,58.49056604,60.9375,78.10218978,50,50,60,65,60,70,100,100,50,
968,62.525,62.26415094,60.9375,86.86131387,60,60,50,75,50,90,100,100,50,
8865,74.175,76.60377358,76.5625,89.05109489,50,68,90,95,60,100,100,90,50,
7069,49.4875,43.39622642,57.03125,71.53284672,50,50,20,57.5,60,55,100,100,50,
8146,57.4875,58.49056604,57.03125,71.53284672,50,50,60,57.5,60,55,100,100,50,
8802,67.5,73.96226415,58.33333333,82.48175182,55,46,100,70,50,80,100,100,50,
9194,56.7375,54.71698113,62.23958333,71.53284672,50,50,50,57.5,70,55,100,100,50,
3652,78.175,89.43396226,66.14583333,86.86131387,60,92,90,75,60,90,100,100,50,
8145,49.85,45.28301887,53.125,73.72262774,55,20,50,60,50,60,100,100,50,
6107,75.225,80.37735849,71.35416667,91.24087591,50,68,100,95,50,100,100,100,50,
3037,70.6,63.39622642,89.58333333,91.24087591,55,68,50,80,100,100,100,100,50,
8154,57.475,58.49056604,55.72916667,73.72262774,50,40,70,65,50,70,80,100,50,
8149,61.7375,64.1509434,62.23958333,71.53284672,55,50,70,57.5,70,55,100,100,50,
4562,53.55,45.28301887,63.54166667,82.48175182,55,40,30,70,60,80,100,100,50,
1639,50.075,43.39622642,55.72916667,78.10218978,50,50,20,65,50,70,100,100,50,
468,50.2375,47.16981132,51.82291667,71.53284672,60,50,20,57.5,50,55,100,100,50,
1136,71.825,70.94339623,81.77083333,84.67153285,55,48,90,95,70,100,60,100,60,
1630,52.6,43.39622642,68.75,73.72262774,50,50,20,60,80,60,100,100,50,
1631,49.625,47.16981132,50.52083333,69.34306569,50,50,30,55,50,50,100,100,50,
1055,48.85,43.39622642,53.125,73.72262774,50,50,20,60,50,60,100,100,50,
6747,62.075,66.03773585,55.72916667,78.10218978,50,60,70,65,50,70,100,100,50,
1137,74.125,73.58490566,81.77083333,91.24087591,50,50,100,95,70,100,100,100,50,
42,67.55,71.69811321,63.54166667,82.48175182,55,80,60,70,60,80,100,100,50,
1647,54.4875,52.83018868,57.03125,71.53284672,55,50,40,57.5,60,55,100,100,50,
63,54.85,45.28301887,73.95833333,73.72262774,55,50,20,60,90,60,100,100,50,
1492,60.7375,62.26415094,62.23958333,71.53284672,50,50,70,57.5,70,55,100,100,50,
1655,55.75,47.16981132,63.54166667,91.24087591,50,50,30,80,50,100,100,100,50,
1493,49.5,43.39622642,58.33333333,69.34306569,50,50,20,70,50,80,60,70,60,
66,47.2375,41.50943396,51.82291667,71.53284672,45,50,20,57.5,50,55,100,100,50,
57,50.35,41.50943396,63.54166667,73.72262774,45,50,20,60,70,60,100,100,50,
975,58.8,50.56603774,68.75,91.24087591,55,54,30,80,60,100,100,100,50,
1643,61.15,57.35849057,63.54166667,91.24087591,55,52,50,80,50,100,100,100,50,
1661,51.85,39.62264151,73.95833333,73.72262774,50,40,20,60,90,60,100,100,50,
1667,51.325,43.39622642,60.9375,78.10218978,50,50,20,65,60,70,100,100,50,
1507,50.85,47.16981132,53.125,73.72262774,60,50,20,60,50,60,100,100,50,
344,74.3,75.09433962,79.16666667,91.24087591,50,54,100,100,60,100,100,100,50,
823,56.825,49.05660377,71.35416667,78.10218978,55,60,20,65,80,70,100,100,50,
1860,58.2375,62.26415094,51.82291667,71.53284672,50,50,70,57.5,50,55,100,100,50,
824,58.6,50.18867925,68.75,91.24087591,50,28,60,80,60,100,100,100,50,
827,46.85,39.62264151,53.125,73.72262774,50,50,10,60,50,60,100,100,50,
69,67.35,59.62264151,84.375,91.24087591,55,38,70,80,90,100,100,100,50,
501,67.35,69.05660377,63.54166667,91.24087591,60,58,70,80,50,100,100,100,50,
1523,69.925,76.22641509,60.9375,86.86131387,55,72,80,75,50,90,100,100,50,
92,48.85,43.39622642,53.125,73.72262774,50,50,20,60,50,60,100,100,50,
1878,55.75,47.16981132,63.54166667,91.24087591,50,50,30,80,50,100,100,100,50,
529,62.6375,70.56603774,51.82291667,71.53284672,50,42,100,57.5,50,55,100,100,50,
530,48.2375,43.39622642,51.82291667,71.53284672,50,50,20,57.5,50,55,100,100,50,
833,54.85,54.71698113,53.125,73.72262774,60,20,70,60,50,60,100,100,50,
835,50.1,43.39622642,58.33333333,73.72262774,50,50,20,60,60,60,100,100,50,
519,57.9,55.8490566,58.33333333,82.48175182,55,38,60,70,50,80,100,100,50,
836,55.15,47.16981132,63.54166667,86.86131387,50,50,30,80,50,100,100,80,50,
81,55.5,51.32075472,58.33333333,82.48175182,55,56,30,70,50,80,100,100,50,
538,48.2375,43.39622642,51.82291667,71.53284672,50,50,20,57.5,50,55,100,100,50,
1875,57.325,54.71698113,60.9375,78.10218978,50,50,50,65,60,70,100,100,50,
527,54.85,54.71698113,53.125,73.72262774,50,50,50,60,50,60,100,100,50,
772,59.75,54.71698113,63.54166667,91.24087591,50,50,50,80,50,100,100,100,50,
1678,65.025,61.13207547,71.35416667,91.24087591,65,52,50,95,50,100,100,100,50,
105,63.075,67.9245283,55.72916667,78.10218978,65,50,70,65,50,70,100,100,50,
107,53.9875,47.16981132,67.44791667,71.53284672,50,50,30,57.5,80,55,100,100,50,
1873,71.75,77.35849057,63.54166667,91.24087591,70,50,90,80,50,100,100,100,50,
533,65,62.26415094,68.75,91.24087591,60,50,60,80,60,100,100,100,50,
1297,51.85,49.05660377,53.125,73.72262774,65,50,20,60,50,60,100,100,50,
1301,51.9375,50.94339623,51.82291667,69.34306569,60,50,30,57.5,50,55,100,90,50,
1298,48.85,43.39622642,53.125,73.72262774,50,50,20,60,50,60,100,100,50,
792,48.2375,43.39622642,51.82291667,71.53284672,50,50,20,57.5,50,55,100,100,50,
546,63.625,73.58490566,50.52083333,69.34306569,50,50,100,55,50,50,100,100,50,
779,73.15,70.56603774,84.375,91.24087591,40,62,90,100,70,100,100,100,50,
1544,62.15,59.24528302,63.54166667,91.24087591,50,52,60,80,50,100,100,100,50,
793,56.75,49.05660377,63.54166667,91.24087591,55,50,30,80,50,100,100,100,50,
1882,52.85,50.94339623,53.125,73.72262774,50,60,30,60,50,60,100,100,50,
550,54.775,56.60377358,50.52083333,70.4379562,75,50,30,55,50,50,100,100,55,
1943,67.75,69.81132075,63.54166667,91.24087591,60,40,90,80,50,100,100,100,50,
856,60.075,62.26415094,55.72916667,78.10218978,50,50,70,65,50,70,100,100,50,
1311,58,51.32075472,68.75,82.48175182,65,56,20,70,70,80,100,100,50,
1690,62.075,66.03773585,55.72916667,78.10218978,50,100,30,65,50,70,100,100,50,
146,56.15,49.05660377,63.54166667,86.86131387,55,50,30,80,50,100,100,80,50,
147,66.075,73.58490566,55.72916667,78.10218978,50,50,100,65,50,70,100,100,50,
154,55.75,47.16981132,63.54166667,91.24087591,50,50,30,80,50,100,100,100,50,
1315,55.75,47.16981132,63.54166667,91.24087591,50,50,30,80,50,100,100,100,50,
1309,48.2375,43.39622642,51.82291667,71.53284672,50,50,20,57.5,50,55,100,100,50,
1692,48.2375,43.39622642,51.82291667,71.53284672,50,50,20,57.5,50,55,100,100,50,
1557,56.35,50.56603774,63.54166667,82.48175182,55,54,30,70,60,80,100,100,50,
7769,50.7375,43.39622642,62.23958333,71.53284672,50,50,20,57.5,70,55,100,100,50,
6052,63.5,54.71698113,79.16666667,91.24087591,50,40,60,80,80,100,100,100,50,
9205,44.85,35.8490566,53.125,73.72262774,50,40,10,60,50,60,100,100,50,
346,72.2,66.41509434,89.58333333,91.24087591,50,61,70,80,100,100,100,100,50,
6756,64.65,59.24528302,73.95833333,91.24087591,50,52,60,80,70,100,100,100,50,
6120,47.85,41.50943396,53.125,73.72262774,55,50,10,60,50,60,100,100,50,
7076,62.1,56.60377358,79.16666667,73.72262774,55,80,20,60,100,60,100,100,50,
7770,52.725,54.71698113,50.52083333,62.77372263,60,50,40,55,50,50,40,90,90,
7771,63.55,61.88679245,63.54166667,91.24087591,65,44,60,80,50,100,100,100,50,
4264,56.55,48.67924528,63.54166667,91.24087591,60,44,30,80,50,100,100,100,50,
8171,51.35,43.39622642,63.54166667,73.72262774,50,50,20,60,70,60,100,100,50,
7767,66.95,68.30188679,63.54166667,91.24087591,50,36,100,80,50,100,100,100,50,
8875,61.85,58.49056604,73.95833333,73.72262774,50,50,60,60,90,60,100,100,50,
8876,67.325,73.58490566,60.9375,78.10218978,50,50,100,65,60,70,100,100,50,
8174,63.825,62.26415094,71.35416667,78.10218978,50,60,60,65,80,70,100,100,50,
7080,54.2375,45.28301887,72.65625,71.53284672,55,50,20,57.5,90,55,100,100,50,
5342,59.2375,64.1509434,51.82291667,71.53284672,55,50,70,57.5,50,55,100,100,50,
8819,53.4875,50.94339623,57.03125,71.53284672,50,50,40,57.5,60,55,100,100,50,
6127,52.125,47.16981132,60.9375,69.34306569,50,50,30,55,70,50,100,100,50,
9211,67.325,73.58490566,60.9375,78.10218978,50,50,100,65,60,70,100,100,50,
6000,63.05,58.49056604,73.95833333,82.48175182,50,50,60,70,80,80,100,100,50,
6761,60.075,62.26415094,55.72916667,78.10218978,50,50,70,65,50,70,100,100,50,
7437,59.325,58.49056604,60.9375,78.10218978,50,50,60,65,60,70,100,100,50,
8888,68.575,73.58490566,66.14583333,78.10218978,50,50,100,65,70,70,100,100,50,
6764,54.725,40.37735849,81.77083333,78.10218978,50,32,30,65,100,70,100,100,50,
6129,48.725,36.22641509,60.9375,86.86131387,45,46,10,75,50,90,100,100,50,
8188,49.625,47.16981132,50.52083333,69.34306569,50,50,30,55,50,50,100,100,50,
7086,50.775,45.28301887,55.72916667,75.91240876,55,50,20,65,50,70,90,100,50,
7450,37.625,24.52830189,50.52083333,69.34306569,40,20,10,55,50,50,100,100,50,
9218,50.85,47.16981132,53.125,73.72262774,50,50,30,60,50,60,100,100,50,
6769,48.2375,43.39622642,51.82291667,71.53284672,50,50,20,57.5,50,55,100,100,50,
6771,52.525,43.39622642,60.9375,86.86131387,50,50,20,75,50,90,100,100,50,
8197,48.85,43.39622642,53.125,73.72262774,50,50,20,60,50,60,100,100,50,
6134,60.075,62.26415094,55.72916667,78.10218978,50,50,70,65,50,70,100,100,50,
9219,57.75,50.94339623,63.54166667,91.24087591,60,50,30,80,50,100,100,100,50,
8193,56.55,48.67924528,63.54166667,91.24087591,50,34,50,80,50,100,100,100,50,
6767,60.75,56.60377358,63.54166667,91.24087591,45,80,30,80,50,100,100,100,50,
1271,65.4,63.01886792,68.75,91.24087591,50,62,60,80,60,100,100,100,50,
